16:48:08:828321: ,0:00:01.633150,Inicializando el sensor: DHT11 
16:48:08:882177: ,0:00:00.053856,Lectura de humedad y temperatura y postprocesado 
16:48:08:898135: ,0:00:00.015958,Daniel Velasco 
16:48:08:899133: ,0:00:00.000998, 
16:48:08:991883: ,0:00:00.092750,Numero medida,Humedad (%),Temperatura (\xc2\xbaC),Punto de rocio (\xc2\xbaC),Sensacion termica (\xc2\xbaC) 
16:48:10:983099: ,0:00:01.991216,0,41.00,25.40,11.21,25.07
16:48:17:036494: ,0:00:06.053395,1,41.00,25.40,11.21,25.07
16:48:23:085423: ,0:00:06.048929,2,41.00,25.40,11.21,25.07
16:48:29:138795: ,0:00:06.053372,3,41.00,25.40,11.21,25.07
16:48:35:188700: ,0:00:06.049905,4,41.00,25.40,11.21,25.07
16:48:41:238653: ,0:00:06.049953,5,40.00,25.40,10.84,25.04
16:48:47:291540: ,0:00:06.052887,6,40.00,25.40,10.84,25.04
16:48:53:341475: ,0:00:06.049935,7,40.00,25.40,10.84,25.04
16:48:59:394427: ,0:00:06.052952,8,40.00,25.30,10.75,24.93
16:49:05:443842: ,0:00:06.049415,9,40.00,25.30,10.75,24.93
16:49:11:497727: ,0:00:06.053885,10,41.00,25.30,11.12,24.96
16:49:17:547113: ,0:00:06.049386,11,41.00,25.30,11.12,24.96
16:49:23:600058: ,0:00:06.052945,12,41.00,25.30,11.12,24.96
16:49:29:649944: ,0:00:06.049886,13,41.00,25.30,11.12,24.96
16:49:35:703380: ,0:00:06.053436,14,41.00,25.30,11.12,24.96
16:49:41:752309: ,0:00:06.048929,15,41.00,25.30,11.12,24.96
16:49:47:806189: ,0:00:06.053880,16,41.00,25.30,11.12,24.96
16:49:53:855601: ,0:00:06.049412,17,41.00,25.30,11.12,24.96
16:49:59:909494: ,0:00:06.053893,18,41.00,25.30,11.12,24.96
16:50:05:958903: ,0:00:06.049409,19,41.00,25.30,11.12,24.96
16:50:12:011810: ,0:00:06.052907,20,41.00,25.30,11.12,24.96
16:50:18:061231: ,0:00:06.049421,21,41.00,25.30,11.12,24.96
16:50:24:115117: ,0:00:06.053886,22,40.00,25.20,10.66,24.82
16:50:30:164529: ,0:00:06.049412,23,40.00,25.20,10.66,24.82
16:50:36:217925: ,0:00:06.053396,24,40.00,25.20,10.66,24.82
16:50:42:267812: ,0:00:06.049887,25,40.00,25.10,10.57,24.71
16:50:48:316705: ,0:00:06.048893,26,40.00,25.10,10.57,24.71
16:50:54:370104: ,0:00:06.053399,27,40.00,25.00,10.48,24.60
16:51:00:419514: ,0:00:06.049410,28,40.00,24.90,10.39,24.49
16:51:06:473392: ,0:00:06.053878,29,40.00,24.80,10.31,24.38
16:51:12:522801: ,0:00:06.049409,30,40.00,24.70,10.22,24.27
16:51:18:575693: ,0:00:06.052892,31,40.00,24.70,10.22,24.27
16:51:24:626086: ,0:00:06.050393,32,41.00,24.60,10.50,24.19
16:51:30:678984: ,0:00:06.052898,33,41.00,24.60,10.50,24.19
16:51:36:728874: ,0:00:06.049890,34,41.00,24.60,10.50,24.19
16:51:42:782271: ,0:00:06.053397,35,41.00,24.60,10.50,24.19
16:51:48:831176: ,0:00:06.048905,36,41.00,24.60,10.50,24.19
16:51:54:880571: ,0:00:06.049395,37,42.00,24.60,10.86,24.21
16:52:00:934461: ,0:00:06.053890,38,42.00,24.60,10.86,24.21
16:52:06:983870: ,0:00:06.049409,39,42.00,24.60,10.86,24.21
16:52:13:037266: ,0:00:06.053396,40,41.00,24.70,10.59,24.30
16:52:19:087172: ,0:00:06.049906,41,41.00,24.70,10.59,24.30
16:52:25:140079: ,0:00:06.052907,42,41.00,24.70,10.59,24.30
16:52:31:189970: ,0:00:06.049891,43,41.00,24.70,10.59,24.30
16:52:37:242888: ,0:00:06.052918,44,41.00,24.70,10.59,24.30
16:52:43:292791: ,0:00:06.049903,45,41.00,24.70,10.59,24.30
16:52:49:345671: ,0:00:06.052880,46,41.00,24.80,10.68,24.41
16:52:55:395081: ,0:00:06.049410,47,41.00,24.80,10.68,24.41
16:53:01:444455: ,0:00:06.049374,48,41.00,24.80,10.68,24.41
16:53:07:498353: ,0:00:06.053898,49,41.00,24.80,10.68,24.41
16:53:13:548270: ,0:00:06.049917,50,41.00,24.80,10.68,24.41
16:53:19:601666: ,0:00:06.053396,51,41.00,24.80,10.68,24.41
16:53:25:651077: ,0:00:06.049411,52,41.00,24.80,10.68,24.41
16:53:31:703971: ,0:00:06.052894,53,41.00,24.80,10.68,24.41
16:53:37:753865: ,0:00:06.049894,54,41.00,24.80,10.68,24.41
16:53:43:807263: ,0:00:06.053398,55,41.00,24.90,10.77,24.52
16:53:49:856677: ,0:00:06.049414,56,41.00,24.90,10.77,24.52
16:53:55:906054: ,0:00:06.049377,57,41.00,24.90,10.77,24.52
16:54:01:959957: ,0:00:06.053903,58,41.00,24.90,10.77,24.52
16:54:08:009355: ,0:00:06.049398,59,41.00,24.90,10.77,24.52
16:54:14:062743: ,0:00:06.053388,60,41.00,24.90,10.77,24.52
16:54:20:111677: ,0:00:06.048934,61,41.00,24.90,10.77,24.52
16:54:26:165561: ,0:00:06.053884,62,41.00,24.90,10.77,24.52
16:54:32:214486: ,0:00:06.048925,63,41.00,24.90,10.77,24.52
16:54:38:268364: ,0:00:06.053878,64,41.00,24.90,10.77,24.52
16:54:44:317778: ,0:00:06.049414,65,41.00,24.90,10.77,24.52
16:54:50:371669: ,0:00:06.053891,66,41.00,24.90,10.77,24.52
16:54:56:420563: ,0:00:06.048894,67,41.00,25.00,10.85,24.63
16:55:02:470586: ,0:00:06.050023,68,41.00,25.00,10.85,24.63
16:55:08:523468: ,0:00:06.052882,69,41.00,25.00,10.85,24.63
